Kansas City,KC,9010,2,45,18,496,131,49,83,388,1,9,67,12,39,108,0,4,7,2,42,1,2,2,0,0,0,0,0,13,65,6,6,1,2,32,6,24,2,8,30,0,1,59:43,1
Miami,MIA,9002,2,47,30,739,144,51,96,559,2,9,51,18,39,180,1,2,4,4,2,0,2,0,0,0,0,0,0,10,77,5,5,4,4,43,11,29,3,8,29,2,5,62:13,0
Minnesota,MIN,9022,2,54,65,880,143,55,81,636,5,1,8,10,60,244,2,5,13,3,10,0,3,3,0,1,0,0,0,8,77,6,6,4,4,52,18,31,3,12,25,0,1,53:07,1
New England,NE,9003,2,36,31,604,132,33,62,339,2,4,25,9,66,265,1,4,10,3,14,0,4,3,0,0,0,0,0,7,66,3,3,5,6,30,13,14,3,10,31,0,0,63:43,0
New Orleans,NO,9026,2,39,31,640,111,34,60,392,3,4,37,6,47,248,0,5,7,2,31,0,3,2,0,0,0,0,0,11,92,3,3,6,7,32,10,20,2,8,24,0,1,67:47,0
New York Giants,NYG,9015,2,54,77,745,146,66,92,551,4,2,19,8,52,194,2,2,6,1,91,0,3,1,0,0,0,0,0,10,68,6,6,4,4,45,8,35,2,13,30,0,0,54:48,0
New York Jets,NYJ,9004,2,28,30,482,123,34,70,363,2,4,32,3,49,119,1,7,11,1,38,0,1,1,0,0,1,0,0,14,111,2,2,4,4,21,3,17,1,10,34,0,0,66:22,0
Oakland,OAK,9011,2,36,30,522,115,43,61,361,3,9,58,7,45,161,1,5,18,0,0,0,0,0,0,0,0,0,0,13,81,3,3,5,7,33,10,21,2,13,27,1,2,64:35,0
Philadelphia,PHI,9016,2,63,60,921,149,66,96,721,5,4,27,10,49,200,1,3,7,2,1,0,3,3,0,0,1,0,0,17,142,7,7,4,5,58,13,41,4,12,25,1,2,52:22,0
Pittsburg,PIT,9008,2,19,36,636,142,36,65,397,1,1,8,7,76,239,2,6,13,0,0,0,0,0,0,0,1,0,0,7,76,2,2,1,1,39,18,18,3,13,32,1,2,50:25,0
San Diego,SD,9012,2,61,61,960,133,57,82,740,5,4,34,9,47,220,1,0,0,1,0,0,0,0,0,0,0,0,0,11,87,7,7,4,4,48,12,34,2,11,24,1,2,63:46,0
Seattle,SEA,9013,2,41,10,450,100,29,51,226,1,4,26,9,45,224,0,4,12,3,69,0,3,4,0,0,1,0,1,19,193,3,4,4,4,28,10,14,4,8,23,0,1,66:57,0
San Francisco,SF,9027,2,37,57,675,128,29,56,440,4,6,35,10,66,235,3,5,17,2,1,0,1,1,0,0,0,0,0,23,206,4,4,3,4,42,15,21,6,9,26,1,2,61:52,0
St. Louis,STL,9025,2,51,55,783,131,59,83,661,4,6,40,12,42,122,1,8,14,1,29,0,3,1,0,0,0,1,1,14,112,5,5,5,5,44,6,36,2,14,27,0,0,58:18,0
Tampa Bay,TB,9023,2,31,34,675,143,50,85,510,2,9,68,14,49,165,0,7,7,3,92,1,3,1,0,0,0,0,0,23,220,4,4,1,2,43,9,25,9,12,32,0,1,55:02,1
Tennessee,TEN,9007,2,40,39,647,131,47,81,443,4,7,46,14,43,204,1,5,17,3,55,1,0,1,0,0,0,0,0,15,130,4,4,4,5,39,9,28,2,10,30,1,1,65:15,1
Washington,WAS,9018,2,47,71,1023,147,49,67,621,6,7,62,3,73,402,3,5,18,0,0,0,3,3,0,1,0,0,2,17,153,5,7,0,2,54,24,29,1,11,25,2,2,54:52,1
